timestamp,acceleration
21-43-21.823966,-2852
21-43-21.879595,-2712
21-43-21.935210,-2720
21-43-21.990820,-3020
21-43-22.046307,-2732
21-43-22.101777,-3028
21-43-22.157246,-2620
21-43-22.212725,-2776
21-43-22.268138,-2816
21-43-22.323596,-2744
21-43-22.379070,-2804
21-43-22.434533,-2748
21-43-22.489966,-2708
21-43-22.545380,-2916
21-43-22.600793,-2612
21-43-22.656220,-2656
21-43-22.711656,-2576
21-43-22.767087,-2704
21-43-22.822704,-2720
21-43-22.878330,-2864
21-43-22.933820,-2728
21-43-22.989264,-2696
21-43-23.044700,-2748
21-43-23.100156,-2568
21-43-23.155598,-2720
21-43-23.211041,-2876
21-43-23.266463,-2800
21-43-23.321920,-2608
21-43-23.377368,-2724
21-43-23.432843,-2580
21-43-23.488381,-2428
21-43-23.543855,-2756
21-43-23.599311,-3016
21-43-23.654779,-2584
21-43-23.710324,-2684
21-43-23.765794,-2760
21-43-23.821381,-2672
